alpha,mu,x0,x1
0.9999,1.6600000000000001,-3.330000000000142,5.379999999999672
0.9999,1.67,-3.300000000000143,5.389999999999672
0.9999,1.68,-3.2700000000001435,5.399999999999672
0.9999,1.69,-3.2600000000001437,5.4099999999996715
0.9999,1.7,-3.240000000000144,5.429999999999671
0.9999,1.71,-3.2100000000001447,5.439999999999671
0.9999,1.72,-3.1800000000001454,5.449999999999671
0.9999,1.73,-3.150000000000146,5.4599999999996705
0.9999,1.74,-3.1200000000001467,5.46999999999967
0.9999,1.75,-3.100000000000147,5.47999999999967
0.9999,1.76,-3.0700000000001477,5.48999999999967
0.9999,1.77,-3.0400000000001484,5.49999999999967
0.9999,1.78,-3.010000000000149,5.509999999999669
0.9999,1.79,-2.9900000000001494,5.519999999999669
0.9999,1.8,-2.96000000000015,5.529999999999669
0.9999,1.81,-2.9300000000001507,5.539999999999669
0.9999,1.82,-2.910000000000151,5.5499999999996685
0.9999,1.83,-2.8800000000001518,5.559999999999668
0.9999,1.84,-2.860000000000152,5.569999999999668
0.9999,1.85,-2.830000000000153,5.579999999999668
0.9999,1.86,-2.8100000000001533,5.589999999999668
0.9999,1.87,-2.780000000000154,5.5999999999996675
0.9999,1.8800000000000001,-2.7600000000001543,5.609999999999667
0.9999,1.8900000000000001,-2.730000000000155,5.619999999999667
